No,日本語名,英語名,定義,カテゴリ,ドメイン
1385,エンロン事件,,エンロン事件に関連する業務用語。,Concept,共通
1386,エージェンシー債,,エージェンシー債に関連する業務用語。,Concept,共通
1387,オアベター注文,,オアベター注文に関連する業務用語。,Concept,共通
1388,オイルマネー,,オイルマネーに関連する業務用語。,Concept,共通
1389,オシレーター,,オシレーターに関連する業務用語。,Concept,共通
1390,オハイオ州立大学研究モデル,,オハイオ州立大学研究モデルに関連する業務用語。,Concept,共通
1391,オピニオン・リーダー,,オピニオン・リーダーに関連する業務用語。,Concept,共通
1392,オファー,,オファーに関連する業務用語。,Concept,共通
1393,オフショアファンド,,オフショアファンドに関連する業務用語。,Metric,投資
1394,オフショアリング,Offshoring,オフショアリングに関連する業務用語。,Concept,共通
1395,オフショア市場,,オフショア市場に関連する業務用語。,Concept,共通
1396,オフショア開発,,オフショア開発に関連する業務用語。,Concept,共通
1397,オフバランス,,オフバランスに関連する業務用語。,Concept,共通
1398,オフバランスシート,,オフバランスシートに関連する業務用語。,Concept,共通
1399,オフバランス取引,,オフバランス取引に関連する業務用語。,Concept,共通
1400,オプション,,オプションに関連する業務用語。,Concept,投資
1401,オプション価格,,オプション価格に関連する業務用語。,Concept,投資
1402,オプトアウト,,オプトアウトに関連する業務用語。,Concept,共通
1403,オプトイン,,オプトインに関連する業務用語。,Concept,共通
1404,オペ,,オペに関連する業務用語。,Concept,共通
1405,オペックス,,オペックスに関連する業務用語。,Concept,共通
1406,オペレーショナルリスク,Operational Risk,オペレーショナルリスクに関連する業務用語。,Concept,共通
1407,オペレーショナル・エクセレンス,Operational Excellence,オペレーショナル・エクセレンスに関連する業務用語。,Concept,共通
1408,オペレーション,,オペレーションに関連する業務用語。,Concept,共通
1409,オペレーション・ツイスト,,オペレーション・ツイストに関連する業務用語。,Concept,共通
1410,オペレーティングモデル,Operating Model,オペレーティングモデルに関連する業務用語。,Concept,財務分析
1411,オペレーティング・リース取引,,オペレーティング・リース取引に関連する業務用語。,Concept,財務分析
1412,オムニチャネル,Omnichannel,オムニチャネルに関連する業務用語。,Concept,マーケティング
1413,オリジネーター,,オリジネーターに関連する業務用語。,Concept,共通
1414,オンショア市場,,オンショア市場に関連する業務用語。,Concept,共通
1415,オンデマンド調達,,オンデマンド調達に関連する業務用語。,Concept,調達
1416,オンバランスボリューム,,オンバランスボリュームに関連する業務用語。,Concept,共通
1417,オンプレミス,,オンプレミスに関連する業務用語。,Concept,共通
1418,オンラインブローカー,,オンラインブローカーに関連する業務用語。,Concept,共通
1419,オンライン証券,,オンライン証券に関連する業務用語。,Concept,投資
1420,オークション方式,,オークション方式に関連する業務用語。,Concept,共通
1421,オーシーオー,,オーシーオーに関連する業務用語。,Concept,共通
1422,オージー,,オージーに関連する業務用語。,Concept,共通
1423,オースリッページ,,オースリッページに関連する業務用語。,Concept,共通
1424,オーダー・ドリブン,,オーダー・ドリブンに関連する業務用語。,Concept,共通
1425,オーナーシップ,,オーナーシップに関連する業務用語。,Concept,共通
1426,オーバーアロットメント,,オーバーアロットメントに関連する業務用語。,Concept,共通
1427,オーバーウェイト,,オーバーウェイトに関連する業務用語。,Concept,共通
1428,オーバーウエート,,オーバーウエートに関連する業務用語。,Concept,共通
1429,オーバーシュート,,オーバーシュートに関連する業務用語。,Concept,共通
1430,オーバーシュート型コミットメント,,オーバーシュート型コミットメントに関連する業務用語。,Concept,共通
1431,オーバーナイト取引,,オーバーナイト取引に関連する業務用語。,Concept,共通
1432,オーバーナイト物,,オーバーナイト物に関連する業務用語。,Concept,共通
1433,オーバーバンキング,,オーバーバンキングに関連する業務用語。,Concept,共通
1434,オーバーパー,,オーバーパーに関連する業務用語。,Concept,共通
1435,オーバー・ザ・カウンター,,オーバー・ザ・カウンターに関連する業務用語。,Concept,共通
1436,オープニング・オークション,,オープニング・オークションに関連する業務用語。,Concept,共通
1437,オープンイノベーション,Open Innovation,オープンイノベーションに関連する業務用語。,Concept,共通
1438,オープンエンド型,,オープンエンド型に関連する業務用語。,Concept,共通
1439,オープンファンド,,オープンファンドに関連する業務用語。,Metric,投資
1440,オープン・エンド型（投資信託）,,オープン・エンド型（投資信託）に関連する業務用語。,Metric,投資
1441,オープン・ポジション,,オープン・ポジションに関連する業務用語。,Concept,投資
1442,オープン型,,オープン型に関連する業務用語。,Concept,共通
1443,オープン型投資信託（オープン投信）,,オープン型投資信託（オープン投信）に関連する業務用語。,Metric,投資
1444,オープン市場,,オープン市場に関連する業務用語。,Concept,共通
1445,オールドエコノミー,,オールドエコノミーに関連する業務用語。,Concept,共通
1446,カウンタートレード,,カウンタートレードに関連する業務用語。,Concept,共通
1447,カウンターパーティー,,カウンターパーティーに関連する業務用語。,Concept,共通
1448,カウンターパーティーリスク,,カウンターパーティーリスクに関連する業務用語。,Concept,共通
1449,カウンター・カルチャー,,カウンター・カルチャーに関連する業務用語。,Concept,共通
1450,カクテルパーティ効果,,カクテルパーティ効果に関連する業務用語。,Concept,共通
1451,カスタマーサクセス,,カスタマーサクセスに関連する業務用語。,Concept,共通
1452,カスタマージャーニー,Customer Journey,カスタマージャーニーに関連する業務用語。,Concept,営業
1453,カスタマー・インティマシー,,カスタマー・インティマシーに関連する業務用語。,Concept,共通
1454,カスタマー・バリュー,,カスタマー・バリューに関連する業務用語。,Concept,共通
1455,カストディアン,,カストディアンに関連する業務用語。,Concept,共通
1456,カタリスト,,カタリストに関連する業務用語。,Concept,共通
1457,カッツの3能力,,カッツの3能力に関連する業務用語。,Concept,共通
1458,カッツ・ロバート・L,,カッツ・ロバート・Lに関連する業務用語。,Concept,共通
1459,カットオフタイム,,カットオフタイムに関連する業務用語。,Concept,共通
1460,カテゴリー・キラー,,カテゴリー・キラーに関連する業務用語。,Concept,共通
1461,カテゴリー・マネジメント,,カテゴリー・マネジメントに関連する業務用語。,Concept,共通
1462,カニバライゼーション,,カニバライゼーションに関連する業務用語。,Concept,共通
1463,カバレッジ開始,Initiation of Coverage,カバレッジ開始に関連する業務用語。,Concept,共通
1464,カバードオプション,,カバードオプションに関連する業務用語。,Concept,投資
1465,カバードコール,,カバードコールに関連する業務用語。,Concept,共通
1466,カバードプット,,カバードプットに関連する業務用語。,Concept,共通
1467,カバードボンド,,カバードボンドに関連する業務用語。,Concept,共通
1468,カバードワラント,,カバードワラントに関連する業務用語。,Concept,投資
1469,カバード・コール,,カバード・コールに関連する業務用語。,Concept,共通
1470,カバー取引,,カバー取引に関連する業務用語。,Concept,共通
1471,カフェテリア・プラン,,カフェテリア・プランに関連する業務用語。,Concept,共通
1472,カマコンバレー,,カマコンバレーに関連する業務用語。,Concept,共通
1473,カムワラント,,カムワラントに関連する業務用語。,Concept,投資
1474,カラ売り,,カラ売りに関連する業務用語。,Concept,共通
1475,カラ売り比率,,カラ売り比率に関連する業務用語。,Concept,共通
1476,カラ売り規制,,カラ売り規制に関連する業務用語。,Concept,ガバナンス
1477,カラ買い,,カラ買いに関連する業務用語。,Concept,共通
1478,カリギュラ効果,,カリギュラ効果に関連する業務用語。,Concept,共通
1479,カルテル,,カルテルに関連する業務用語。,Concept,共通
1480,カルパース,,カルパースに関連する業務用語。,Concept,共通
1481,カレンシー,,カレンシーに関連する業務用語。,Concept,共通
1482,カレンシーオーバーレイ,,カレンシーオーバーレイに関連する業務用語。,Concept,共通
1483,カレンシースワップ,,カレンシースワップに関連する業務用語。,Concept,投資
1484,カレンダースプレッド取引,,カレンダースプレッド取引に関連する業務用語。,Concept,共通
1485,カレントクーポン,,カレントクーポンに関連する業務用語。,Concept,共通
1486,カントリーアロケーション,,カントリーアロケーションに関連する業務用語。,Concept,共通
1487,カントリーファンド,,カントリーファンドに関連する業務用語。,Metric,投資
1488,カントリーランキング,,カントリーランキングに関連する業務用語。,Concept,共通
1489,カントリーリスク,Country Risk,カントリーリスクに関連する業務用語。,Concept,共通
1490,カンバン方式,Kanban,カンバン方式に関連する業務用語。,Process,製造
1491,カンパニー制,,カンパニー制に関連する業務用語。,Concept,共通
1492,カンパニー型組織,,カンパニー型組織に関連する業務用語。,Concept,共通
1493,カーブアウト,,カーブアウトに関連する業務用語。,Concept,共通
1494,カーブ・フィッティング,,カーブ・フィッティングに関連する業務用語。,Concept,共通
1495,ガバナンス,Governance,ガバナンスに関連する業務用語。,Entity,ガバナンス
1496,ガバナンス・ファンド,,ガバナンス・ファンドに関連する業務用語。,Metric,投資
1497,ガバナンス改革,Governance Reform,ガバナンス改革に関連する業務用語。,Entity,ガバナンス
1498,ガラ,,ガラに関連する業務用語。,Concept,共通
1499,ガルブレイス・ジェイR.,,ガルブレイス・ジェイR.に関連する業務用語。,Concept,共通
1500,ガントチャート,Gantt Chart,ガントチャートに関連する業務用語。,Concept,経営戦略
1501,ガンマ,,ガンマに関連する業務用語。,Concept,共通
1502,キウィ,,キウィに関連する業務用語。,Concept,共通
1503,キチンサイクル,,キチンサイクルに関連する業務用語。,Concept,共通
1504,キャッシュフロー,,キャッシュフローに関連する業務用語。,Metric,会計
1505,キャッシュフローの状況,Cash Flow Analysis,キャッシュフローの状況に関連する業務用語。,Metric,会計
1506,キャッシュリッチ,,キャッシュリッチに関連する業務用語。,Concept,共通
1507,キャッシュレス,,キャッシュレスに関連する業務用語。,Concept,共通
1508,キャッシュ・オア・ナッシング・オプション,,キャッシュ・オア・ナッシング・オプションに関連する業務用語。,Concept,投資
1509,キャッシュ・コンバージョン・サイクル,,キャッシュ・コンバージョン・サイクルに関連する業務用語。,Concept,営業
1510,キャッシュ・フロー見積法,,キャッシュ・フロー見積法に関連する業務用語。,Concept,共通
1511,キャッシュ・フロー計算書,,キャッシュ・フロー計算書に関連する業務用語。,Concept,共通
1512,キャッシング,,キャッシングに関連する業務用語。,Concept,共通
1513,キャットボンド,,キャットボンドに関連する業務用語。,Concept,共通
1514,キャップ,,キャップに関連する業務用語。,Concept,共通
1515,キャップレート,,キャップレートに関連する業務用語。,Concept,共通
1516,キャパシティプランニング,Capacity Planning,キャパシティプランニングに関連する業務用語。,Concept,共通
1517,キャピタルゲイン,,キャピタルゲインに関連する業務用語。,Concept,共通
1518,キャピタルゲイン課税,,キャピタルゲイン課税に関連する業務用語。,Concept,共通
1519,キャピタルフライト,,キャピタルフライトに関連する業務用語。,Concept,共通
1520,キャピタルマーケット,,キャピタルマーケットに関連する業務用語。,Concept,共通
1521,キャピタルリスク,,キャピタルリスクに関連する業務用語。,Concept,共通
1522,キャピタルロス,,キャピタルロスに関連する業務用語。,Concept,共通
1523,キャピタル・ゲイン,,キャピタル・ゲインに関連する業務用語。,Concept,共通
1524,キャプラン・ロバート・S,,キャプラン・ロバート・Sに関連する業務用語。,Concept,共通
1525,キャペックス,,キャペックスに関連する業務用語。,Concept,共通
1526,キャリアアップ助成金,,キャリアアップ助成金に関連する業務用語。,Concept,共通
1527,キャリア・アンカー,,キャリア・アンカーに関連する業務用語。,Concept,共通
1528,キャリア・ディベロップメント・プログラム,,キャリア・ディベロップメント・プログラムに関連する業務用語。,Concept,共通
1529,キャリア・デザイン,,キャリア・デザインに関連する業務用語。,Concept,共通
1530,キャリートレード,,キャリートレードに関連する業務用語。,Concept,共通
1531,キャンドル,,キャンドルに関連する業務用語。,Concept,共通
1532,ギアリング比率,,ギアリング比率に関連する業務用語。,Concept,共通
1533,ギグ・エコノミー,,ギグ・エコノミーに関連する業務用語。,Concept,共通
1534,ギブアップ制度,,ギブアップ制度に関連する業務用語。,Concept,共通
1535,ギブソンパラドックス,,ギブソンパラドックスに関連する業務用語。,Concept,共通
1536,ギャップアップ,,ギャップアップに関連する業務用語。,Concept,共通
1537,ギャップダウン,,ギャップダウンに関連する業務用語。,Concept,共通
1538,ギャランティー取引,,ギャランティー取引に関連する業務用語。,Concept,共通
1539,ギャロップインフレ,,ギャロップインフレに関連する業務用語。,Concept,共通
1540,ギャン理論,,ギャン理論に関連する業務用語。,Concept,共通
1541,ギリシャ問題,,ギリシャ問題に関連する業務用語。,Concept,共通
1542,ギリシャ指標,,ギリシャ指標に関連する業務用語。,Concept,共通
1543,ギルド,Guild,ギルドに関連する業務用語。,Concept,共通
1544,クアラルンプール総合指数,,クアラルンプール総合指数に関連する業務用語。,Concept,共通
1545,クイックウィン,Quick Win,クイックウィンに関連する業務用語。,Concept,共通
1546,クウォート,,クウォートに関連する業務用語。,Concept,共通
1547,クォート,,クォートに関連する業務用語。,Concept,共通
1548,クォート・ドリブン,,クォート・ドリブンに関連する業務用語。,Concept,共通
1549,クオンツ,,クオンツに関連する業務用語。,Concept,共通
1550,クオンツ型,,クオンツ型に関連する業務用語。,Concept,共通
1551,クオンツ運用,,クオンツ運用に関連する業務用語。,Concept,共通
1552,クズネッツサイクル,,クズネッツサイクルに関連する業務用語。,Concept,共通
1553,クチコミ,,クチコミに関連する業務用語。,Concept,共通
1554,クライアント,Client,クライアントに関連する業務用語。,Concept,共通
1555,クラウディングアウト,,クラウディングアウトに関連する業務用語。,Concept,共通
1556,クラウドコンピューティング,,クラウドコンピューティングに関連する業務用語。,Concept,経営戦略
1557,クラウドサービス,Cloud Service,クラウドサービスに関連する業務用語。,Concept,経営戦略
1558,クラウドファンディング,,クラウドファンディングに関連する業務用語。,Concept,経営戦略
1559,クラウドマイグレーション,Cloud Migration,クラウドマイグレーションに関連する業務用語。,Concept,経営戦略
1560,クラウンジュエル,,クラウンジュエルに関連する業務用語。,Concept,共通
1561,クラスター分析,,クラスター分析に関連する業務用語。,Concept,共通
1562,クリアストリーム,,クリアストリームに関連する業務用語。,Concept,共通
1563,クリアリング機構,,クリアリング機構に関連する業務用語。,Concept,共通
1564,クリエイティブ戦略,,クリエイティブ戦略に関連する業務用語。,Concept,共通
1565,クリスマス合意,,クリスマス合意に関連する業務用語。,Concept,共通
1566,クリティカルシンキング,Critical Thinking,クリティカルシンキングに関連する業務用語。,Concept,共通
1567,クリティカルチェーン・プロジェクトマネジメント,,クリティカルチェーン・プロジェクトマネジメントに関連する業務用語。,Process,共通
1568,クリティカル・シンキング,,クリティカル・シンキングに関連する業務用語。,Concept,共通
1569,クリティカル・パス,,クリティカル・パスに関連する業務用語。,Concept,共通
1570,クリーピングインフレ,,クリーピングインフレに関連する業務用語。,Concept,共通
1571,クリーンエネルギー,,クリーンエネルギーに関連する業務用語。,Concept,共通
1572,クルノー競争,,クルノー競争に関連する業務用語。,Concept,共通
1573,クレジットコスト,,クレジットコストに関連する業務用語。,Concept,共通
1574,クレジットスプレッド,,クレジットスプレッドに関連する業務用語。,Concept,共通
1575,クレジットデフォルトスワップ,,クレジットデフォルトスワップに関連する業務用語。,Concept,投資
1576,クレジットデリバティブ,,クレジットデリバティブに関連する業務用語。,Concept,投資
1577,クレジットファシリティ,,クレジットファシリティに関連する業務用語。,Concept,共通
1578,クレジットリスク,,クレジットリスクに関連する業務用語。,Concept,共通
1579,クレジットリンク債,,クレジットリンク債に関連する業務用語。,Concept,共通
1580,クレジット・ウォッチ,,クレジット・ウォッチに関連する業務用語。,Concept,共通
1581,クレジット・デフォルト・スワップ,,クレジット・デフォルト・スワップに関連する業務用語。,Concept,投資
1582,クレジット・デリバティブ,,クレジット・デリバティブに関連する業務用語。,Concept,投資
1583,クレジット・モニター,,クレジット・モニターに関連する業務用語。,Concept,共通
1584,クレジット・ライン,,クレジット・ラインに関連する業務用語。,Concept,共通
1585,クレジット市場,,クレジット市場に関連する業務用語。,Concept,共通
1586,クロス,,クロスに関連する業務用語。,Concept,共通
1587,クロスデフォルト,Cross Default,クロスデフォルトに関連する業務用語。,Concept,共通
1588,クロスファンクショナルチーム,Cross-Functional Team,クロスファンクショナルチームに関連する業務用語。,Concept,共通
1589,クロスボーダー取引,,クロスボーダー取引に関連する業務用語。,Concept,共通
1590,クロスボーダー担保取り決め,,クロスボーダー担保取り決めに関連する業務用語。,Concept,共通
1591,クロスレート,,クロスレートに関連する業務用語。,Concept,共通
1592,クロス・ファンクショナル・チーム,,クロス・ファンクショナル・チームに関連する業務用語。,Concept,共通
1593,クロス円,,クロス円に関連する業務用語。,Concept,共通
1594,クロス取引,,クロス取引に関連する業務用語。,Concept,共通
1595,クロス集計,,クロス集計に関連する業務用語。,Concept,共通
1596,クロージング・オークション,,クロージング・オークションに関連する業務用語。,Process,M&A
1597,クローズドエンド型,,クローズドエンド型に関連する業務用語。,Concept,共通
1598,クローズド明け日,,クローズド明け日に関連する業務用語。,Concept,共通
1599,クローズド期間,,クローズド期間に関連する業務用語。,Concept,共通
1600,クローズ・エンド型（投資信託）,,クローズ・エンド型（投資信託）に関連する業務用語。,Metric,投資
1601,クローズ型,,クローズ型に関連する業務用語。,Concept,共通
1602,クーポン,,クーポンに関連する業務用語。,Concept,共通
1603,クーポンストリッピング,,クーポンストリッピングに関連する業務用語。,Concept,共通
1604,クーポンレート,,クーポンレートに関連する業務用語。,Concept,共通
1605,クーポン・スワップ,,クーポン・スワップに関連する業務用語。,Concept,投資
1606,クーポン・レート,,クーポン・レートに関連する業務用語。,Concept,共通
1607,クーリングオフ,,クーリングオフに関連する業務用語。,Concept,共通
1608,グッド・サイクル,,グッド・サイクルに関連する業務用語。,Concept,共通
1609,グラス・スティーガル法,,グラス・スティーガル法に関連する業務用語。,Concept,共通
1610,グラマー・ストック,,グラマー・ストックに関連する業務用語。,Concept,共通
1611,グランビルの法則,,グランビルの法則に関連する業務用語。,Concept,共通
1612,グリーンイノベーション,,グリーンイノベーションに関連する業務用語。,Concept,共通
1613,グリーンシューオプション,,グリーンシューオプションに関連する業務用語。,Concept,投資
1614,グリーンシート,,グリーンシートに関連する業務用語。,Concept,共通
1615,グリーンシート銘柄,,グリーンシート銘柄に関連する業務用語。,Concept,共通
1616,グリーンファイナンス,,グリーンファイナンスに関連する業務用語。,Process,金融
1617,グリーンボンド,,グリーンボンドに関連する業務用語。,Concept,共通
1618,グリーンメーラー,,グリーンメーラーに関連する業務用語。,Concept,共通
1619,グリーンメール,,グリーンメールに関連する業務用語。,Concept,共通
1620,グリーン・ニューディール,,グリーン・ニューディールに関連する業務用語。,Concept,共通
1621,グリーン・マーケティング/エコ・マーケティング,,グリーン・マーケティング/エコ・マーケティングに関連する業務用語。,Concept,マーケティング
1622,グルーピング,,グルーピングに関連する業務用語。,Concept,共通
1623,グループインタビュー,,グループインタビューに関連する業務用語。,Concept,共通
1624,グループ・インタビュー,,グループ・インタビューに関連する業務用語。,Concept,共通
1625,グループ・シンク,,グループ・シンクに関連する業務用語。,Concept,共通
1626,グループ・ダイナミックス,,グループ・ダイナミックスに関連する業務用語。,Concept,共通
1627,グループ会社,Group Company,グループ会社に関連する業務用語。,Entity,共通
1628,グループ法人税制,,グループ法人税制に関連する業務用語。,Entity,共通
1629,グレグジット,,グレグジットに関連する業務用語。,Concept,共通
1630,グレーマーケット,,グレーマーケットに関連する業務用語。,Concept,共通
1631,グロースアプローチ,,グロースアプローチに関連する業務用語。,Concept,共通
1632,グロースハック,,グロースハックに関連する業務用語。,Concept,共通
1633,グロースファンド,,グロースファンドに関連する業務用語。,Metric,投資
1634,グロース・ファンド,,グロース・ファンドに関連する業務用語。,Metric,投資
1635,グロース・リセッション,,グロース・リセッションに関連する業務用語。,Concept,共通
1636,グロース型,,グロース型に関連する業務用語。,Concept,共通
1637,グロース市場,Growth Market,グロース市場に関連する業務用語。,Concept,投資
1638,グロース戦略,Growth Strategy,グロース戦略に関連する業務用語。,Concept,共通
1639,グロース投資,,グロース投資に関連する業務用語。,Concept,共通
1640,グロース株投資,,グロース株投資に関連する業務用語。,Concept,共通
1641,グロース運用,,グロース運用に関連する業務用語。,Concept,共通
1642,グロース／インカム型,,グロース／インカム型に関連する業務用語。,Concept,共通
1643,グロース／クオンツ型,,グロース／クオンツ型に関連する業務用語。,Concept,共通
1644,グローバリゼーション,,グローバリゼーションに関連する業務用語。,Concept,共通
1645,グローバリゼーション/ローカライゼーション,,グローバリゼーション/ローカライゼーションに関連する業務用語。,Concept,共通
1646,グローバルなシステム上重要な保険会社,,グローバルなシステム上重要な保険会社に関連する業務用語。,Entity,共通
1647,グローバルなシステム上重要な金融機関,,グローバルなシステム上重要な金融機関に関連する業務用語。,Entity,共通
1648,グローバルなシステム上重要な銀行,,グローバルなシステム上重要な銀行に関連する業務用語。,Entity,共通
1649,グローバルオファリング,,グローバルオファリングに関連する業務用語。,Entity,共通
1650,グローバルボンド,,グローバルボンドに関連する業務用語。,Entity,共通
1651,グローバル・インバランス,,グローバル・インバランスに関連する業務用語。,Entity,共通
1652,グローバル・オファリング,,グローバル・オファリングに関連する業務用語。,Entity,共通
1653,グローバル・スタンダード,,グローバル・スタンダードに関連する業務用語。,Entity,共通
1654,グローバル・マクロ戦略,,グローバル・マクロ戦略に関連する業務用語。,Entity,共通
1655,グローバル・マクロ運用,,グローバル・マクロ運用に関連する業務用語。,Entity,共通
1656,グローバル債券,,グローバル債券に関連する業務用語。,Concept,投資
1657,グローバル化,Globalization,グローバル化に関連する業務用語。,Entity,共通
1658,グローバル株式,,グローバル株式に関連する業務用語。,Concept,財務分析
1659,グローバル調達,Global Procurement,グローバル調達に関連する業務用語。,Concept,調達
1660,ケイパビリティ,,ケイパビリティに関連する業務用語。,Concept,共通
1661,ケイパビリティ・ベースド・ストラテジー,,ケイパビリティ・ベースド・ストラテジーに関連する業務用語。,Concept,共通
1662,ケイ線,,ケイ線に関連する業務用語。,Concept,共通
1663,ケネディ・ショック,,ケネディ・ショックに関連する業務用語。,Concept,共通
1664,ケミストリー,,ケミストリーに関連する業務用語。,Concept,共通
1665,ケーススタディ,Case Study,ケーススタディに関連する業務用語。,Concept,共通
1666,ケース面接,,ケース面接に関連する業務用語。,Concept,共通
1667,ケーブル,,ケーブルに関連する業務用語。,Concept,共通
1668,ゲームの木,,ゲームの木に関連する業務用語。,Concept,共通
1669,ゲーム理論,,ゲーム理論に関連する業務用語。,Concept,共通
1670,コアCPI,,コアCPIに関連する業務用語。,Concept,共通
1671,コアコアCPI,,コアコアCPIに関連する業務用語。,Concept,共通
1672,コアコア（物価）指数,,コアコア（物価）指数に関連する業務用語。,Concept,共通
1673,コアコアＣＰＩ,,コアコアＣＰＩに関連する業務用語。,Concept,共通
1674,コアサテライト運用,,コアサテライト運用に関連する業務用語。,Concept,共通
1675,コア・インフレ,,コア・インフレに関連する業務用語。,Concept,共通
1676,コア・コンピタンス,Core Competence,コア・コンピタンスに関連する業務用語。,Concept,共通
1677,コア型,,コア型に関連する業務用語。,Concept,共通
1678,コア（物価）指数,,コア（物価）指数に関連する業務用語。,Concept,共通
1679,コストアプローチ,,コストアプローチに関連する業務用語。,Concept,共通
1680,コストセンター,,コストセンターに関連する業務用語。,Concept,共通
1681,コストプッシュインフレ,,コストプッシュインフレに関連する業務用語。,Concept,共通
1682,コストプラス・プライシング,,コストプラス・プライシングに関連する業務用語。,Concept,共通
1683,コストプラス価格設定,,コストプラス価格設定に関連する業務用語。,Concept,共通
1684,コスト・センター,,コスト・センターに関連する業務用語。,Concept,共通
1685,コスト・トランスフォーメーション,Cost Transformation,コスト・トランスフォーメーションに関連する業務用語。,Concept,共通
1686,コスト・ドライバー,,コスト・ドライバーに関連する業務用語。,Concept,共通
1687,コスト・パフォーマンス,,コスト・パフォーマンスに関連する業務用語。,Concept,共通
1688,コスト・リーダーシップ戦略,Cost Leadership Strategy,コスト・リーダーシップ戦略に関連する業務用語。,Process,人事
1689,コスト構造,Cost Structure,コスト構造に関連する業務用語。,Metric,会計
1690,コッター,,コッターに関連する業務用語。,Concept,共通
1691,コトラーの戦略ポジショニング,,コトラーの戦略ポジショニングに関連する業務用語。,Concept,営業
1692,コベナンツ,,コベナンツに関連する業務用語。,Concept,共通
1693,コマーシャルペーパー,Commercial Paper,コマーシャルペーパーに関連する業務用語。,Concept,共通
1694,コマーシャル・ペーパー(CP),,コマーシャル・ペーパー(CP)に関連する業務用語。,Concept,共通
1695,コミッション,,コミッションに関連する業務用語。,Concept,共通
1696,コミットメント,,コミットメントに関連する業務用語。,Concept,共通
1697,コミットメントライン,Commitment Line,コミットメントラインに関連する業務用語。,Concept,共通
1698,コミュニケーション,,コミュニケーションに関連する業務用語。,Concept,共通
1699,コミュニケーション・ミックス,,コミュニケーション・ミックスに関連する業務用語。,Concept,共通
1700,コミュニケーション戦略,Communication Strategy,コミュニケーション戦略に関連する業務用語。,Concept,共通
1701,コモディティ,,コモディティに関連する業務用語。,Concept,共通
1702,コモディティスワップ,,コモディティスワップに関連する業務用語。,Concept,投資
1703,コモディティファンド,,コモディティファンドに関連する業務用語。,Metric,投資
1704,コモディティー投資,,コモディティー投資に関連する業務用語。,Concept,共通
1705,コモディティ上場投資信託,,コモディティ上場投資信託に関連する業務用語。,Metric,投資
1706,コモディティ化,Commoditization,コモディティ化に関連する業務用語。,Concept,共通
1707,コモフレーション,,コモフレーションに関連する業務用語。,Concept,共通
1708,コモンズの悲劇,,コモンズの悲劇に関連する業務用語。,Concept,共通
1709,コラテラル,,コラテラルに関連する業務用語。,Concept,共通
1710,コリンズ・ジェームズ・C,,コリンズ・ジェームズ・Cに関連する業務用語。,Concept,共通
1711,コルレス契約,,コルレス契約に関連する業務用語。,Concept,共通
1712,コレスポンデンス分析,,コレスポンデンス分析に関連する業務用語。,Concept,共通
1713,コロケーション,,コロケーションに関連する業務用語。,Concept,共通
1714,コンカレント・エンジニアリング,,コンカレント・エンジニアリングに関連する業務用語。,Concept,共通
1715,コングロマリット,,コングロマリットに関連する業務用語。,Concept,共通
1716,コンコルド効果,,コンコルド効果に関連する業務用語。,Concept,共通
1717,コンサルタント,Consultant,コンサルタントに関連する業務用語。,Concept,共通
1718,コンサルティングファーム,,コンサルティングファームに関連する業務用語。,Concept,共通
1719,コンジョイント分析,,コンジョイント分析に関連する業務用語。,Concept,共通
1720,コンセプチュアル・スキル,,コンセプチュアル・スキルに関連する業務用語。,Concept,共通
1721,コンセプト・イン,,コンセプト・インに関連する業務用語。,Concept,共通
1722,コンセンサス,Consensus,コンセンサスに関連する業務用語。,Concept,財務分析
1723,コンセンサス調査,,コンセンサス調査に関連する業務用語。,Concept,財務分析
1724,コンソル公債,,コンソル公債に関連する業務用語。,Concept,共通
1725,コンチネンタルターム,,コンチネンタルタームに関連する業務用語。,Concept,共通
1726,コンティンジェンシープランニング,Contingency Planning,コンティンジェンシープランニングに関連する業務用語。,Concept,共通
1727,コンティンジェンシー・プラン,,コンティンジェンシー・プランに関連する業務用語。,Concept,共通
1728,コンテクスト、コンテント,,コンテクスト、コンテントに関連する業務用語。,Concept,共通
1729,コンテンツ,,コンテンツに関連する業務用語。,Concept,共通
1730,コンドラチェフサイクル,,コンドラチェフサイクルに関連する業務用語。,Concept,共通
1731,コンドラチェフ波動,,コンドラチェフ波動に関連する業務用語。,Concept,共通
1732,コンバージェンス,,コンバージェンスに関連する業務用語。,Concept,共通
1733,コンバージョン・ファクター,,コンバージョン・ファクターに関連する業務用語。,Concept,営業
1734,コンピテンシー,,コンピテンシーに関連する業務用語。,Concept,共通
1735,コンフィギュレーション学派,,コンフィギュレーション学派に関連する業務用語。,Concept,共通
1736,コンフリクト,,コンフリクトに関連する業務用語。,Concept,共通
1737,コンプライアンスリスク,Compliance Risk,コンプライアンスリスクに関連する業務用語。,Concept,ガバナンス
1738,コンベクシティ,,コンベクシティに関連する業務用語。,Concept,共通
1739,コンベンショナル方式,,コンベンショナル方式に関連する業務用語。,Concept,共通
1740,コンポジット・インデックス,,コンポジット・インデックスに関連する業務用語。,Metric,投資
1741,コーチング,,コーチングに関連する業務用語。,Process,人事
1742,コーピング,,コーピングに関連する業務用語。,Concept,共通
1743,コーポレートアクション,,コーポレートアクションに関連する業務用語。,Concept,共通
1744,コーポレートガバナンスの状況等,Corporate Governance Status,コーポレートガバナンスの状況等に関連する業務用語。,Entity,ガバナンス
